行政區,門牌,社區,交易日期,總價_萬元,單價_萬元每坪,總面積_坪,主建物佔比_pct,屋齡,樓別樓高_原始,交易標的_原始,建物格局_原始,緯度,經度,樓別,樓高,樓比,房數,廳數,衛數,含土地,含建物,含車位,交易季,屋齡分組,交易年月,dist_HSR,dist_min_超商,cnt_500m_超商,cnt_1km_超商,dist_avg_top3_超商,dist_avg_top5_超商,dist_min_學校,cnt_500m_學校,cnt_1km_學校,dist_avg_top3_學校,dist_avg_top5_學校,dist_min_捷運站,cnt_500m_捷運站,cnt_1km_捷運站,dist_avg_top3_捷運站,dist_avg_top5_捷運站,dist_min_早餐店,cnt_500m_早餐店,cnt_1km_早餐店,dist_avg_top3_早餐店,dist_avg_top5_早餐店,dist_min_咖啡店,cnt_500m_咖啡店,cnt_1km_咖啡店,dist_avg_top3_咖啡店,dist_avg_top5_咖啡店,dist_min_超市,cnt_500m_超市,cnt_1km_超市,dist_avg_top3_超市,dist_avg_top5_超市,dist_min_藥妝店,cnt_500m_藥妝店,cnt_1km_藥妝店,dist_avg_top3_藥妝店,dist_avg_top5_藥妝店,dist_min_速食店,cnt_500m_速食店,cnt_1km_速食店,dist_avg_top3_速食店,dist_avg_top5_速食店,dist_min_商圈,cnt_500m_商圈,cnt_1km_商圈,dist_avg_top3_商圈,dist_avg_top5_商圈,dist_min_捷運,cnt_500m_捷運,cnt_1km_捷運,dist_avg_top3_捷運,dist_avg_top5_捷運,dist_min_咖啡廳,cnt_500m_咖啡廳,cnt_1km_咖啡廳,dist_avg_top3_咖啡廳,dist_avg_top5_咖啡廳,房價指數,原始列號
板橋,板橋區縣民大道三段９３巷２８號七樓之１,nan,2/10/2026,795,59.29,13.41,63.28,1,七層/十四層,土1 建1車0,1房1廳1衛,25.022528,121.474943,7,14,0.5,1,1,1,1,1,0,2026Q1,0-5,2026-02,1394.163983,69.57202078,12,75,121.9993446,180.3138682,308.7033658,3,7,430.0020905,588.198887,702.375889,0,4,807.7274813,928.4838559,364.4457742,2,7,487.9690755,611.6130644,287.0814525,1,11,495.5431274,580.4259969,70.2215598,1,11,423.1951545,534.9947622,516.0385209,0,12,584.4267004,650.5639186,595.5467549,0,5,642.7831802,700.1739443,672.2783957,0,1,1130.812562,1277.990711,,,,,,,,,,,161.63,21
板橋,板橋區中正路３３２號八樓之一,環遊世界,2/10/2026,600,31.06,19.32,49.31,32,八層/十五層,土1 建1車1,3房2廳1衛,25.022186,121.45455,8,15,0.533333333,3,2,1,1,1,1,2026Q1,30+,2026-02,1331.730777,55.09135836,13,45,100.15411,128.9553843,342.186898,3,5,378.3110212,522.1107774,1260.648601,0,0,1288.809923,1375.420152,135.8364582,2,6,411.4589146,577.2874639,659.6668603,0,2,852.478872,1017.019201,18.60887483,2,5,270.1415705,434.9641557,426.8967183,1,2,718.6610239,936.7284927,654.9846266,0,1,1072.400192,1219.206795,932.262692,0,1,1153.307361,1234.398002,,,,,,,,,,,161.63,22
板橋,板橋區永豐街３１號三樓,nan,2/10/2026,1850,65.95,28.33,58.1,1,三層/十三層,土1 建1車1,2房2廳1衛,25.017172,121.474493,3,13,0.230769231,2,2,1,1,1,1,2026Q1,0-5,2026-02,1056.261498,80.79575767,15,69,158.3939188,200.8706585,98.11165273,2,8,333.5496551,532.7982485,364.6398023,1,2,785.6049546,949.4224488,544.0455969,0,4,592.146224,712.4768981,501.7596403,0,10,509.6024351,535.4647259,507.9944954,0,6,542.6899267,653.6087841,305.1140182,1,8,554.8198187,678.915717,288.9994486,2,4,487.7015179,706.0312243,806.3538808,0,2,930.2756295,1029.686148,,,,,,,,,,,161.63,23
板橋,板橋區新府路３０號十四樓,三輝白昀,2/9/2026,3790,120.5,38.24,57.5,1,十四層/二十四層,土1 建1車1,2房2廳1衛,25.010417,121.465281,14,24,0.583333333,2,2,1,1,1,1,2026Q1,0-5,2026-02,439.2117032,136.9513563,20,68,157.8114363,173.4598692,569.0725917,0,8,603.6587616,647.2624172,467.4254102,1,4,574.6665482,801.8709256,142.3245315,2,6,412.7167852,587.3644073,101.1913192,9,15,213.3050376,301.0787584,363.6725823,2,4,430.5453209,637.3014891,101.1913192,7,11,196.6937774,291.1120023,363.6725823,4,6,393.6197694,432.3176649,101.1913192,6,7,295.640164,368.4960925,,,,,,,,,,,161.63,24
板橋,板橋區新府路２０號十六樓,三輝白昀,2/9/2026,4980,119.48,48.11,54.45,1,十六層/二十四層,土1 建1車1,3房2廳2衛,25.011109,121.46547,16,24,0.666666667,3,2,2,1,1,1,2026Q1,0-5,2026-02,368.3612114,90.10292571,20,68,121.5762077,140.3965397,570.0972781,0,8,627.0586453,673.3997443,405.6666798,2,4,545.1943705,781.6870408,86.02781067,2,7,381.4063999,597.7533852,113.1106208,9,15,197.5546752,263.1441558,367.1035959,2,4,456.6455375,662.8626095,113.1106208,7,10,178.7725019,251.8748519,310.0962642,4,6,363.3867832,424.5180102,113.1106208,5,7,267.6893251,325.7977908,,,,,,,,,,,161.63,25
板橋,板橋區縣民大道三段９３巷２６號七樓,nan,2/9/2026,1830,81.2,22.54,63.05,1,七層/十四層,土1 建1車0,2房1廳1衛,25.022524,121.474848,7,14,0.5,2,1,1,1,1,0,2026Q1,0-5,2026-02,1386.660152,60.03240091,13,75,116.7380707,174.1121234,306.8429121,3,7,429.5616684,586.963521,693.2552286,0,4,800.9958928,922.2866432,354.8759057,2,7,485.6105899,606.4916534,277.5000555,1,11,493.5823078,578.7004833,60.85439194,1,11,425.0699979,538.9755666,507.7740339,0,12,580.1261451,647.3345461,599.3088083,0,5,643.356452,698.2655264,662.724267,0,1,1122.911839,1269.99347,,,,,,,,,,,161.63,26
板橋,板橋區民生路二段１２之３號五樓,nan,2/9/2026,1030,66.97,20.84,59.14,28,五層/二十四層,土1 建1車1,1房1廳1衛,25.016338,121.473396,5,24,0.208333333,1,1,1,1,1,1,2026Q1,21-30,2026-02,924.5184077,137.8645018,14,73,169.1208385,206.7899682,221.8915499,2,7,396.8174251,553.956421,228.3415356,1,2,702.8732353,876.5062844,428.1959111,1,5,589.1401159,679.6993548,414.5604214,2,15,500.6238073,566.1068516,634.2897609,0,6,664.6404538,750.1456612,431.8546165,1,11,589.4103299,661.6898033,420.1541857,2,5,528.6308343,702.4867497,724.9308033,0,4,835.9585194,918.4984026,,,,,,,,,,,161.63,27
板橋,板橋區國慶路１４３號三樓,nan,2/9/2026,1080,38.29,28.21,100,51,三層/四層,土1 建1車0,4房1廳1衛,24.996153,121.461206,3,4,0.75,4,1,1,1,1,0,2026Q1,30+,2026-02,2045.304326,32.82155921,12,32,115.5639202,161.7349803,227.7885145,3,5,266.6174652,521.9765487,918.7817041,0,1,1436.709305,1761.683384,264.575581,1,5,617.3032964,725.9211599,558.2080322,0,8,632.1029174,701.7859264,547.8197099,0,3,796.9290524,995.4812376,12.55648402,2,7,283.9674391,464.1916281,757.3864154,0,1,1188.284091,1353.035719,1378.725892,0,0,1454.080175,1565.839883,,,,,,,,,,,161.63,28
板橋,板橋區華興街１８號十樓,新板京王,2/9/2026,2100,39.47,53.21,56.72,15,十層/十四層,土1 建1車1,3房2廳2衛,25.004773,121.459174,10,14,0.714285714,3,2,2,1,1,1,2026Q1,11月20日,2026-02,1187.846878,52.22916257,23,53,111.6121839,142.7868649,243.6217863,2,8,422.3122003,549.8047723,378.3632842,1,2,696.9521415,1023.580454,56.71666459,3,6,189.9504436,414.2329891,278.2748772,4,9,336.4725581,407.153416,317.0728601,1,6,563.7023592,652.3586858,315.1535181,5,8,357.4473504,376.1790341,401.4687351,2,5,440.7900224,537.0951377,402.7373165,2,5,533.6469951,668.849408,,,,,,,,,,,161.63,29
板橋,板橋區文化路一段３６８號二十一樓之２,新巨蛋,2/8/2026,3450,85.02,46.04,58.74,16,二十一層/四十三層,土1 建1車1,3房2廳2衛,25.023423,121.46989,21,43,0.488372093,3,2,2,1,1,1,2026Q1,11月20日,2026-02,1150.372035,49.0126609,29,78,71.56466462,98.64797633,474.4079354,1,7,565.7242829,654.1383746,188.4218695,2,3,441.6047173,675.8861517,174.7948542,4,7,289.1639583,393.3334375,251.3902215,4,11,287.3480535,338.9083979,305.3269695,4,10,332.6240138,427.9157095,147.7361843,5,10,208.3178564,260.042379,258.7914258,2,6,500.2067264,684.3910844,240.9252025,1,1,813.0623327,955.0504981,,,,,,,,,,,161.63,30
